no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,room_type_reserved_Room_Type 1,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online
2,0,1,2,1,0,224,0,0,0,65.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,3,0,0,5,0,0,0,106.68,1,1,1,0,0,0,0,0,0,0,0,1
1,0,2,1,1,0,1,0,0,0,60.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,211,0,0,0,100.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,1,0,0,48,0,0,0,94.5,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,3,1,0,34,0,0,0,107.55,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,3,1,0,83,0,0,0,105.61,1,1,0,0,1,0,0,0,0,0,0,1
3,0,0,4,1,0,121,0,0,0,96.9,1,1,1,0,0,0,0,0,0,0,1,0
1,0,1,0,0,0,0,0,0,0,85.03,0,1,1,0,0,0,0,0,0,0,0,1
1,0,2,1,1,0,35,0,0,0,140.4,1,1,0,0,1,0,0,0,0,0,0,1
2,0,2,1,0,0,30,0,0,0,88.0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,2,0,1,0,95,0,0,0,90.0,2,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,47,0,0,0,94.5,2,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,2,0,256,0,0,0,115.0,1,0,1,0,0,0,0,0,0,0,0,1
1,0,1,0,1,0,0,0,0,0,96.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,3,0,0,1,0,0,0,96.0,1,1,1,0,0,0,0,0,0,0,0,1
2,0,2,2,1,0,99,0,0,0,65.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,1,0,1,0,12,0,0,0,72.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,2,1,0,99,0,0,0,65.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,4,1,0,2,0,0,0,85.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,3,1,0,37,0,0,0,105.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,1,0,0,130,0,0,0,94.5,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,99,0,0,0,114.3,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,1,1,0,60,0,0,0,65.0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,2,1,0,2,0,0,0,110.0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,2,1,0,37,0,0,0,37.33,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,2,0,56,0,0,0,82.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,1,1,1,0,3,0,0,0,177.5,1,1,0,0,1,0,0,0,0,0,0,1
2,0,2,2,1,0,107,0,0,0,87.5,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,1,0,0,2,0,0,0,69.5,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,72,0,0,0,85.5,0,1,1,0,0,0,0,0,0,0,1,0
1,0,2,1,1,0,34,0,0,0,81.0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,1,1,0,289,0,0,0,67.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,2,3,0,0,247,0,0,0,63.75,0,0,1,0,0,0,0,0,0,0,0,1
2,0,2,1,1,0,186,0,0,0,121.8,1,0,0,0,1,0,0,0,0,0,0,1
2,0,0,4,1,0,64,0,0,0,93.6,2,1,1,0,0,0,0,0,0,0,0,1
2,0,0,2,1,0,35,0,0,0,102.0,1,1,1,0,0,0,0,0,0,0,0,1
3,0,2,1,1,0,96,0,0,0,121.8,1,1,1,0,0,0,0,0,0,0,0,1
2,0,1,1,0,0,41,0,0,0,98.1,1,0,1,0,0,0,0,0,0,0,0,1
2,0,0,4,1,0,55,0,0,0,60.0,1,1,0,0,1,0,0,0,0,0,1,0
2,0,0,3,1,0,146,0,0,0,75.0,0,1,1,0,0,0,0,0,0,0,1,0
1,0,0,2,1,0,32,0,0,0,73.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,1,2,0,55,0,0,0,104.0,0,1,1,0,0,0,0,0,0,0,1,0
2,0,0,4,0,0,57,0,0,0,79.2,1,1,1,0,0,0,0,0,0,0,0,1
1,0,1,3,1,0,7,0,0,0,125.8,2,1,0,0,1,0,0,0,0,0,0,1
1,0,2,5,0,0,124,0,0,0,87.95,0,1,1,0,0,0,0,0,0,0,0,1
2,0,2,2,2,0,169,0,0,0,106.0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,1,2,1,0,6,0,0,0,136.67,1,1,1,0,0,0,0,0,0,0,0,1
2,0,0,4,1,0,51,0,0,0,60.0,1,1,0,0,1,0,0,0,0,0,1,0
2,0,1,0,0,0,13,0,0,0,89.0,2,1,1,0,0,0,0,0,0,0,0,1
